wavelength[um] flux[W/m2/um]
4.24664736e+00 1.41619550e-15
4.25599957e+00 1.41280701e-15
4.26532936e+00 1.40902729e-15
4.27463818e+00 1.39128290e-15
4.28392506e+00 1.43292839e-15
4.29319048e+00 1.41350416e-15
4.30243540e+00 1.39269366e-15
4.31165934e+00 1.35314434e-15
4.32086277e+00 1.37436990e-15
4.33004475e+00 1.34815729e-15
4.33920622e+00 1.29877971e-15
4.34834719e+00 1.25815780e-15
4.35746813e+00 1.24422400e-15
4.36656904e+00 1.22815222e-15
4.37564993e+00 1.18477633e-15
4.38471031e+00 1.17173370e-15
4.39375067e+00 1.11265678e-15
4.40277147e+00 1.07108276e-15
4.41177273e+00 1.06911537e-15
4.42075491e+00 1.01113280e-15
4.42971706e+00 9.28223937e-16
4.43865967e+00 8.92567434e-16
4.44758368e+00 8.61155541e-16
4.45648861e+00 8.15773170e-16
4.46537495e+00 7.77309517e-16
4.47424173e+00 7.49589954e-16
4.48308992e+00 7.00061872e-16
4.49191952e+00 6.78757082e-16
4.50073099e+00 6.65066719e-16
4.50952339e+00 6.28442276e-16
4.51829767e+00 6.02479871e-16
4.52705383e+00 5.94832148e-16
4.53579235e+00 5.78779818e-16
4.54451227e+00 5.73821430e-16
4.55321407e+00 5.49166628e-16
4.56189871e+00 5.40202080e-16
4.57056570e+00 5.34345218e-16
4.57921457e+00 5.34648309e-16
4.58784580e+00 5.47569069e-16
4.59645987e+00 5.61711081e-16
4.60505724e+00 5.81100194e-16
4.61363602e+00 5.79822965e-16
4.62219858e+00 5.78768373e-16
4.63074446e+00 5.93640936e-16
4.63927269e+00 6.14117300e-16
4.64778376e+00 6.33860467e-16
4.65627909e+00 7.00305912e-16
4.66475725e+00 7.74293378e-16
4.67321825e+00 7.81840947e-16
4.68166304e+00 7.39224098e-16
4.69009209e+00 7.17537848e-16
4.69850397e+00 6.95883717e-16
4.70690012e+00 6.83770791e-16
4.71528006e+00 6.50096888e-16
4.72364330e+00 6.28047961e-16
4.73199129e+00 6.05379814e-16
4.74032307e+00 5.96485623e-16
4.74863863e+00 6.00637217e-16
4.75693893e+00 5.91848293e-16
4.76522398e+00 5.88668928e-16
4.77349234e+00 5.89979374e-16
4.78174591e+00 5.77765255e-16
4.78998423e+00 5.68916795e-16
4.79820633e+00 5.91284762e-16
4.80641365e+00 6.13843064e-16
4.81460619e+00 6.21677535e-16
4.82278252e+00 6.26436014e-16
4.83094501e+00 6.38596489e-16
4.83909178e+00 6.36015127e-16
4.84722376e+00 6.27856037e-16
4.85534096e+00 6.25884584e-16
4.86344337e+00 6.34263835e-16
4.87153101e+00 6.36078305e-16
4.87960434e+00 6.38050335e-16
4.88766241e+00 6.44838875e-16
4.89570713e+00 6.59783030e-16
4.90373659e+00 6.63062857e-16
4.91175175e+00 6.66782116e-16
4.91975307e+00 6.69776399e-16
4.92773962e+00 6.68302908e-16
4.93571281e+00 6.64114924e-16
4.94367123e+00 6.87125288e-16
4.95161581e+00 6.82351457e-16
4.95954657e+00 6.86083850e-16
4.96746349e+00 7.16490028e-16
4.97536659e+00 7.52080649e-16
4.98325586e+00 7.78598907e-16
4.99113178e+00 7.85855053e-16
4.99899340e+00 7.84706780e-16
5.00684214e+00 7.78225707e-16
5.01467705e+00 7.49665461e-16
5.02249861e+00 7.21085913e-16
5.03030682e+00 7.60207573e-16
5.03810167e+00 7.93858946e-16
5.04588366e+00 8.09330932e-16
5.05365181e+00 8.45444874e-16
5.06140709e+00 8.47655610e-16
5.06914949e+00 8.62441824e-16
5.07687855e+00 8.60878477e-16
5.08459520e+00 8.27043917e-16
5.09229803e+00 8.71203084e-16
5.09998894e+00 9.13319939e-16
